Date,ETHA_Net_Flow_USD,ETHB_Net_Flow_USD,FETH_Net_Flow_USD,ETHW_Net_Flow_USD,TETH_Net_Flow_USD,ETHV_Net_Flow_USD,QETH_Net_Flow_USD,EZET_Net_Flow_USD,ETHE_Net_Flow_USD,ETH_Net_Flow_USD,Total_Net_Flow_USD,Source_URL
2024-12-11,74200000,,0,8199999.999999999,0,5600000,0,2900000,-2300000,13400000,102000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-12,202300000,,19400000,0,1600000,0,0,0,-22800000,73200000,273700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-13,9500000,,6900000,0,0,0,0,0,7200000,0,23600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-16,30700000,,4099999.9999999995,8700000,0,0,0,0,0,7600000,51100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-17,134800000,,3900000,0,0,0,0,1500000,0,4500000,144700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-18,81900000,,0,-14600000,0,0,0,0,-49200000,-15600000,2500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-19,0,,5100000,-6800000,0,4900000,-2400000,0,-58100000,-3200000,-60500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-20,-103700000,,13000000,0,0,0,0,0,7500000,8100000,-75100000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-23,89500000,,46400000,1000000,0,0,0,0,0,-6100000,130800000.00000001,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-24,43900000,,3500000,6200000,0,0,0,0,0,0,53600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-26,28200000,,83000000,0,0,0,0,0,0,6000000,117200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-27,20200000,,27500000,0,0,0,0,0,0,0,47700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-30,0,,-20400000,0,0,0,0,-3900000,-17400000,-13800000,-55500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2024-12-31,0,,31800000,0,0,0,0,0,-5600000,9800000,36000000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-02,0,,0,-56100000,0,0,0,0,-21400000,0,-77500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-03,33900000,,27100000,0,0,0,0,0,-7200000,5100000,58900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-06,124100000,,4600000,0,0,0,0,0,0,0,128699999.99999999,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-07,0,,-67600000,0,0,0,0,0,-8000000,-11200000,-86800000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-08,0,,-147700000,0,0,0,0,0,-8300000.000000001,-3400000,-159400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-10,0,,-65400000.00000001,-3100000,0,0,0,0,0,0,-68500000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-13,12900000,,0,0,0,0,0,0,-14500000,-37800000,-39400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-14,0,,0,1200000,0,0,0,0,0,0,1200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-15,19800000,,29300000,0,0,2500000,0,0,0,8100000,59700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-16,111200000,,70000000,0,0,0,0,0,-18700000,4099999.9999999995,166600000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-17,7400000,,14000000,2500000,0,0,0,0,0,0,23900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-21,56300000,,3300000,3100000,0,3600000,0,0,-4400000,12500000,74400000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-22,79100000,,9000000,0,0,0,0,0,-17400000,0,70700000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-23,0,,7300000,-3000000,0,0,0,0,-22300000,3100000,-14900000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-24,0,,0,6000000,1200000,0,2000000,0,0,0,9200000,https://farside.co.uk/ethereum-etf-flow-all-data/
2025-01-27,20700000,,-68500000,-4200000,0,0,0,0,-84200000,0,-136200000,https://farside.co.uk/ethereum-etf-flow-all-data/
