Date,IBIT_Net_Flow_USD,FBTC_Net_Flow_USD,BITB_Net_Flow_USD,ARKB_Net_Flow_USD,BTCO_Net_Flow_USD,EZBC_Net_Flow_USD,BRRR_Net_Flow_USD,HODL_Net_Flow_USD,BTCW_Net_Flow_USD,MSBT_Net_Flow_USD,GBTC_Net_Flow_USD,BTC_Net_Flow_USD,Total_Net_Flow_USD,Source_URL
2026-03-26,-41900000,-32799999.999999996,-33100000,-30500000,0,0,0,-2400000,0,,-25100000,-5500000,-171300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-27,-201500000,0,-18600000,-5400000,0,0,0,0,0,,0,0,-225500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-30,7500000,28900000,0,33000000,0,0,0,0,0,,0,0,69400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-03-31,98400000,16200000,1800000,1100000,0,0,0,0,0,,0,0,117500000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-01,-86500000,-78600000,-5600000,0,0,0,0,0,0,,-13300000,10300000,-173700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-02,-3000000,7300000,0,0,0,0,0,4700000,0,,0,0,9000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-06,181900000,147300000,3800000,118800000,0,0,0,2000000,0,,0,17600000,471400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-07,-17100000,-47800000,0,-34200000,0,0,2300000,-20400000,0,,-41900000,0,-159100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-08,40400000,-79100000,0,-74700000,0,0,0,0,0,30600000,-11100000,0,-93900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-09,269300000,53300000,11700000,4800000,0,2100000,0,2000000,0,14900000,0,0,358100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-10,137600000,78000000,9500000,3600000,0,0,0,2600000,0,16300000,0,9100000,256700000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-13,34700000,-229200000,11900000,-62900000,0,0,0,-2600000,0,6300000,-38200000,-11000000,-291000000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-14,213800000,45300000,12500000,113100000,0,0,0,6300000,0,15500000,0,4900000,411400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-15,291900000,-47300000,-8500000,-42200000,0,0,0,-3700000,0,19300000,-23400000,0,186100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-16,81700000,-36000000,0,-27400000,0,0,0,0,0,13400000,-22300000,16700000,26100000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-17,284000000,163400000,38200000,117900000,3900000,0,0,6600000,0,16600000.000000002,4200000,29100000,663900000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-20,256000000,-6600000,0,0,0,0,5800000,0,0,8100000,-24900000,0,238400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-21,39300000,-6600000,-12700000,-14500000,0,0,0,-4300000,0,10800000,-17500000,17300000,11800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-22,246900000,56700000,15400000,11900000,0,0,0,3900000,6300000,11300000,-16600000.000000002,0,335800000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-23,167500000,-16900000,-7600000,71200000,0,0,0,-5500000,0,9400000,0,5200000,223300000,https://farside.co.uk/bitcoin-etf-flow-all-data/
2026-04-24,22900000,-1700000,-8900000,-9000000,0,0,0,0,0,11100000,0,0,14400000,https://farside.co.uk/bitcoin-etf-flow-all-data/
